Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           9.13        16.82       0.33        1           3            5 37 11
1           7.81        16.04       0.33        1           3            3 11 14
2           4.69        14.90       1.33        4           3            12 15 6
3           7.01        16.07       0.33        1           3            1 41 11
4           7.07        16.62       1.67        5           3            11 9 2
5           7.06        15.50       0.67        2           3            11 0 9
6           6.81        15.15       0.33        1           3            2 12 15
7           8.38        14.33       0.00        0           3            4 28 11
8           4.52        14.13       0.33        1           3            25 34 33
9           7.06        17.98       1.00        3           3            4 14 5
10          7.77        19.25       0.00        0           3            14 2 4
11          5.70        14.23       3.00        9           3            20 4 12
12          6.21        13.45       1.00        3           3            2 11 8
13          6.53        13.99       0.00        0           3            33 41 21
14          7.14        16.31       1.33        4           3            11 9 4
15          4.35        18.47       1.67        5           3            17 16 18
16          4.30        18.72       1.00        3           3            18 15 17
17          4.76        20.64       1.00        3           3            15 16 18
18          4.76        21.07       1.00        3           3            16 15 17
19          6.16        12.93       0.33        1           3            37 24 28
20          7.80        16.14       0.33        1           3            11 14 59
21          2.69        16.89       1.33        4           3            40 33 34
22          2.43        17.51       3.33        10          3            34 25 30
23          3.03        18.65       0.67        2           3            34 22 25
24          3.10        17.35       1.67        5           3            34 22 33
25          2.21        15.94       3.33        10          3            34 27 22
26          4.11        18.10       0.67        2           3            21 71 24
27          2.29        15.47       1.67        5           3            25 34 36
28          3.52        14.84       0.67        2           3            27 25 32
29          6.39        16.28       0.00        0           3            22 24 30
30          2.66        15.95       1.33        4           3            22 34 38
31          4.51        17.07       0.00        0           3            24 26 39
32          3.40        17.72       0.67        2           3            55 27 38
33          2.65        16.06       1.33        4           3            34 25 21
34          1.93        16.78       4.67        14          3            22 25 27
35          4.24        19.90       0.00        0           3            55 24 71
36          3.33        15.92       0.33        1           3            27 25 34
37          4.99        14.81       0.67        2           3            30 22 19
38          2.66        17.90       0.67        2           3            22 34 30
39          3.81        17.73       0.33        1           3            22 23 34
40          2.51        16.51       0.33        1           3            25 21 34
41          5.08        14.79       0.67        2           3            25 34 23
42          1.04        19.11       2.67        8           3            43 45 54
43          0.84        19.68       3.33        10          3            45 42 51
44          1.45        19.72       1.00        3           3            43 45 51
45          0.91        19.85       3.67        11          3            43 42 51
46          2.26        19.39       0.67        2           3            43 45 50
47          1.75        18.65       1.33        4           3            45 43 42
48          3.50        16.52       0.67        2           3            50 54 42
49          4.63        17.99       0.00        0           3            48 50 60
50          2.10        18.34       1.67        5           3            45 43 54
51          1.41        19.07       1.00        3           3            43 45 42
52          4.90        15.82       0.67        2           3            60 58 61
53          4.97        16.07       0.00        0           3            71 26 22
54          1.04        19.41       1.33        4           3            45 43 42
55          3.22        18.46       1.33        4           3            64 61 32
56          4.96        17.88       0.33        1           3            48 46 42
57          4.43        16.82       0.00        0           3            58 60 66
58          3.69        16.54       1.67        5           3            60 64 63
59          4.72        13.71       0.33        1           3            63 62 60
60          3.86        16.91       2.33        7           3            58 63 52
61          3.01        20.29       1.67        5           3            44 71 67
62          4.19        16.31       0.67        2           3            63 60 58
63          3.69        17.30       1.33        4           3            62 60 58
64          3.13        17.58       1.00        3           3            47 55 45
65          6.64        13.46       0.00        0           3            56 52 64
66          3.90        19.08       0.33        1           3            54 50 46
67          3.01        19.25       0.33        1           3            44 50 61
68          2.02        19.20       0.00        0           3            42 43 45
69          4.47        19.12       0.00        0           3            47 55 61
70          3.60        21.07       0.00        0           3            45 43 47
71          2.81        19.45       1.33        4           3            47 44 61
