Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.12        0.66        1.00        2           2            1 2
1           0.18        0.70        0.50        1           2            0 2
2           0.13        0.66        1.50        3           2            0 5
3           0.08        0.67        1.00        3           3            9 4 8
4           0.08        0.58        1.00        2           2            9 3
5           0.13        0.67        1.00        2           2            6 2
6           0.15        0.64        1.50        3           2            5 7
7           0.15        0.49        1.50        3           2            11 6
8           0.12        0.67        0.50        1           2            3 9
9           0.08        0.66        1.50        3           2            3 4
10          0.31        0.70        0.00        0           2            11 7
11          0.15        0.50        1.00        2           2            7 6
