Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.25        0.66        0.67        2           3            1 2 5
1           0.31        0.70        0.67        2           3            0 2 5
2           0.18        0.66        1.00        3           3            0 5 1
3           0.08        0.67        1.00        3           3            9 4 8
4           0.12        0.58        1.00        3           3            9 3 8
5           0.18        0.67        2.00        6           3            6 2 7
6           0.15        0.64        1.33        4           3            5 7 11
7           0.18        0.49        1.33        4           3            11 6 5
8           0.12        0.67        1.00        3           3            3 9 4
9           0.12        0.66        1.00        3           3            3 4 8
10          0.34        0.70        0.33        1           3            11 7 6
11          0.19        0.50        0.75        3           4            7 6 5 10
