Id      Type    Group   Values  
0       -1      -1      17.05, 9.35, 56.74
1       1       1       17.61, 9.35, 56.74
2       0       1       18.08, 9.35, 56.74
3       1       1       18.28, 9.35, 56.74
4       0       1       18.42, 9.35, 56.74
5       -1      -1      19.12, 9.35, 56.74
6       1       2       19.59, 9.35, 56.74
7       1       2       19.62, 9.35, 56.74
8       1       2       19.66, 9.35, 56.74
9       1       2       19.49, 9.35, 56.74
10      -1      -1      19.23, 9.35, 56.74
11      1       1       18.23, 9.35, 56.74
12      1       1       17.60, 9.35, 56.74
13      1       1       17.64, 9.35, 56.74
14      1       1       18.40, 9.35, 56.74
15      -1      -1      18.86, 9.35, 56.74
16      1       1       18.25, 9.36, 56.74
17      1       1       18.02, 9.36, 56.74
18      1       1       18.32, 9.36, 56.74
19      -1      -1      32.08, 8.59, 57.01
20      -1      -1      28.71, 8.59, 57.01
21      1       3       24.67, 8.58, 57.01
22      1       3       21.82, 8.58, 57.01
23      1       4       17.14, 8.58, 57.01
24      1       4       17.04, 8.58, 57.01
25      1       4       14.28, 8.58, 57.01
26      1       4       14.07, 8.58, 57.01
27      1       3       22.42, 8.56, 57.02
28      1       3       20.54, 8.56, 57.02
29      1       3       23.57, 8.56, 57.02
30      1       3       23.06, 8.56, 57.02
31      -1      -1      9.32, 8.51, 57.04
32      -1      -1      7.95, 8.51, 57.05
33      -1      -1      6.84, 8.50, 57.05
34      -1      -1      7.04, 8.50, 57.05
35      -1      -1      8.87, 8.51, 57.04
36      1       5       8.64, 8.51, 57.04
37      1       5       8.68, 8.51, 57.04
38      1       5       8.86, 8.51, 57.04
39      1       5       8.64, 8.51, 57.04
40      1       5       8.87, 8.51, 57.04
41      1       5       8.88, 8.51, 57.04
42      1       5       8.86, 8.51, 57.04
43      -1      -1      8.84, 8.51, 57.04
44      1       6       9.03, 8.51, 57.04
45      -1      -1      8.84, 8.51, 57.04
46      0       6       8.94, 8.51, 57.04
47      1       5       8.87, 8.51, 57.04
48      1       6       8.95, 8.51, 57.04
49      1       6       9.10, 8.51, 57.04
50      1       6       9.18, 8.51, 57.04
51      -1      -1      9.63, 8.51, 57.04
52      -1      -1      9.44, 8.51, 57.04
53      1       7       11.44, 8.51, 57.04
54      1       7       11.23, 8.51, 57.04
55      1       7       11.59, 8.51, 57.04
56      1       7       11.26, 8.51, 57.04
57      1       7       11.39, 8.51, 57.04
58      0       7       11.83, 8.51, 57.04
59      1       7       11.29, 8.51, 57.04
60      -1      -1      12.18, 8.51, 57.04
61      1       8       12.11, 8.51, 57.04
62      1       8       12.07, 8.51, 57.04
63      -1      -1      12.75, 8.51, 57.04
64      1       9       12.40, 8.51, 57.04
