Id      Type    Group   Values  
0       -1      -1      17.05, 9.35, 56.74
1       1       1       17.61, 9.35, 56.74
2       -1      -1      18.08, 9.35, 56.74
3       1       2       18.28, 9.35, 56.74
4       1       2       18.42, 9.35, 56.74
5       1       3       19.12, 9.35, 56.74
6       1       4       19.59, 9.35, 56.74
7       1       4       19.62, 9.35, 56.74
8       -1      -1      19.66, 9.35, 56.74
9       -1      -1      19.49, 9.35, 56.74
10      1       3       19.23, 9.35, 56.74
11      -1      -1      18.23, 9.35, 56.74
12      1       1       17.60, 9.35, 56.74
13      1       1       17.64, 9.35, 56.74
14      -1      -1      18.40, 9.35, 56.74
15      -1      -1      18.86, 9.35, 56.74
16      1       5       18.25, 9.36, 56.74
17      -1      -1      18.02, 9.36, 56.74
18      1       5       18.32, 9.36, 56.74
19      1       6       32.08, 8.59, 57.01
20      1       6       28.71, 8.59, 57.01
21      1       7       24.67, 8.58, 57.01
22      1       7       21.82, 8.58, 57.01
23      1       8       17.14, 8.58, 57.01
24      1       8       17.04, 8.58, 57.01
25      1       9       14.28, 8.58, 57.01
26      1       9       14.07, 8.58, 57.01
27      1       10      22.42, 8.56, 57.02
28      -1      -1      20.54, 8.56, 57.02
29      1       10      23.57, 8.56, 57.02
30      1       10      23.06, 8.56, 57.02
31      -1      -1      9.32, 8.51, 57.04
32      -1      -1      7.95, 8.51, 57.05
33      1       11      6.84, 8.50, 57.05
34      1       11      7.04, 8.50, 57.05
35      -1      -1      8.87, 8.51, 57.04
36      1       12      8.64, 8.51, 57.04
37      -1      -1      8.68, 8.51, 57.04
38      -1      -1      8.86, 8.51, 57.04
39      1       12      8.64, 8.51, 57.04
40      1       13      8.87, 8.51, 57.04
41      1       13      8.88, 8.51, 57.04
42      1       14      8.86, 8.51, 57.04
43      1       15      8.84, 8.51, 57.04
44      -1      -1      9.03, 8.51, 57.04
45      1       15      8.84, 8.51, 57.04
46      1       16      8.94, 8.51, 57.04
47      1       14      8.87, 8.51, 57.04
48      1       16      8.95, 8.51, 57.04
49      1       17      9.10, 8.51, 57.04
50      1       17      9.18, 8.51, 57.04
51      1       18      9.63, 8.51, 57.04
52      1       18      9.44, 8.51, 57.04
53      1       19      11.44, 8.51, 57.04
54      1       20      11.23, 8.51, 57.04
55      1       19      11.59, 8.51, 57.04
56      1       20      11.26, 8.51, 57.04
57      -1      -1      11.39, 8.51, 57.04
58      -1      -1      11.83, 8.51, 57.04
59      1       21      11.29, 8.51, 57.04
60      -1      -1      12.18, 8.51, 57.04
61      1       22      12.11, 8.51, 57.04
62      -1      -1      12.07, 8.51, 57.04
63      -1      -1      12.75, 8.51, 57.04
64      1       23      12.40, 8.51, 57.04
