Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.19        0.64        1.67        5           3            61 16 90
1           0.18        0.70        2.00        6           3            39 28 12
2           0.28        0.62        1.33        4           3            90 48 8
3           0.36        0.65        0.00        0           3            4 77 11
4           0.30        0.68        0.33        1           3            54 29 75
5           0.31        0.70        1.33        4           3            87 68 78
6           0.20        0.59        1.33        4           3            46 16 81
7           0.24        0.69        1.00        3           3            51 32 38
8           0.30        0.65        0.33        1           3            84 2 90
9           0.27        0.66        0.33        1           3            45 58 35
10          0.24        0.65        1.67        5           3            14 58 12
11          0.24        0.72        2.00        6           3            14 82 10
12          0.20        0.65        2.00        6           3            41 1 38
13          0.22        0.63        1.00        3           3            91 84 75
14          0.25        0.61        2.33        7           3            10 11 31
15          0.24        0.69        1.00        3           3            69 49 52
16          0.19        0.60        3.33        10          3            90 6 0
17          0.34        0.67        0.00        0           3            76 31 63
18          0.31        0.77        0.00        0           3            62 7 51
19          0.22        0.68        1.33        4           3            46 81 52
20          0.25        0.60        1.00        3           3            45 48 13
21          0.30        0.64        0.67        2           3            39 28 14
22          0.34        0.71        0.00        0           3            2 21 48
23          0.25        0.59        0.67        2           3            77 97 91
24          0.32        0.71        0.00        0           3            52 96 57
25          0.27        0.64        0.33        1           3            60 31 38
26          0.24        0.68        0.33        1           3            90 46 84
27          0.32        0.63        0.00        0           3            21 39 49
28          0.18        0.64        1.67        5           3            39 52 1
29          0.27        0.74        1.00        3           3            95 54 62
30          0.27        0.66        0.33        1           3            60 94 67
31          0.23        0.64        1.00        3           3            52 76 38
32          0.22        0.68        2.67        8           3            38 97 41
33          0.25        0.64        0.67        2           3            71 16 90
34          0.30        0.71        0.00        0           3            64 86 58
35          0.25        0.61        1.33        4           3            86 98 50
36          0.32        0.63        0.67        2           3            68 5 87
37          0.22        0.69        0.33        1           3            28 39 49
38          0.20        0.66        2.33        7           3            52 32 12
39          0.16        0.59        4.00        12          3            28 52 1
40          0.24        0.68        0.33        1           3            46 19 52
41          0.22        0.72        0.67        2           3            12 52 32
42          0.34        0.64        0.00        0           3            2 77 25
43          0.37        0.71        0.00        0           3            14 23 11
44          0.33        0.72        0.67        2           3            75 13 72
45          0.24        0.69        2.00        6           3            9 20 58
46          0.17        0.62        2.33        7           3            6 40 69
47          0.37        0.67        0.00        0           3            53 14 11
48          0.27        0.59        1.67        5           3            20 13 45
49          0.22        0.75        1.33        4           3            69 37 15
50          0.32        0.65        0.33        1           3            35 86 79
51          0.29        0.62        1.00        3           3            7 32 63
52          0.17        0.64        5.00        15          3            39 28 66
53          0.25        0.67        1.00        3           3            38 32 52
54          0.29        0.72        1.67        5           3            62 29 68
55          0.39        0.79        0.00        0           3            78 2 48
56          0.30        0.64        0.33        1           3            74 53 80
57          0.24        0.68        1.00        3           3            66 52 70
58          0.26        0.64        1.33        4           3            10 45 14
59          0.35        0.75        0.33        1           3            93 44 11
60          0.24        0.68        1.33        4           3            30 12 67
61          0.21        0.66        0.67        2           3            0 98 16
62          0.25        0.75        2.00        6           3            54 95 75
63          0.25        0.69        1.00        3           3            32 38 95
64          0.24        0.66        0.67        2           3            69 66 76
65          0.28        0.69        0.00        0           3            16 19 6
66          0.21        0.65        1.67        5           3            52 70 57
67          0.24        0.72        1.00        3           3            39 94 60
68          0.29        0.67        1.33        4           3            36 5 54
69          0.21        0.69        1.67        5           3            46 52 15
70          0.24        0.66        0.67        2           3            66 57 1
71          0.26        0.64        0.67        2           3            16 33 0
72          0.32        0.75        1.00        3           3            75 54 62
73          0.33        0.69        0.00        0           3            1 35 60
74          0.28        0.63        0.67        2           3            62 0 56
75          0.21        0.70        1.67        5           3            72 91 44
76          0.20        0.63        1.33        4           3            52 46 39
77          0.24        0.61        1.00        3           3            98 23 39
78          0.31        0.69        0.67        2           3            53 5 48
79          0.24        0.69        0.67        2           3            86 1 10
80          0.24        0.67        0.33        1           3            12 66 64
81          0.22        0.68        0.67        2           3            46 6 19
82          0.27        0.66        0.33        1           3            11 15 14
83          0.32        0.70        0.00        0           3            84 91 94
84          0.21        0.61        1.67        5           3            90 91 98
85          0.33        0.68        0.00        0           3            45 49 20
86          0.24        0.70        1.33        4           3            79 35 10
87          0.32        0.69        0.67        2           3            5 68 36
88          0.29        0.65        0.00        0           3            32 19 74
89          0.26        0.62        0.00        0           3            91 39 76
90          0.14        0.63        3.00        9           3            98 91 16
91          0.19        0.62        2.67        8           3            90 98 84
92          0.33        0.75        0.00        0           3            16 71 26
93          0.32        0.68        0.33        1           3            33 16 59
94          0.24        0.61        1.00        3           3            61 67 0
95          0.26        0.79        1.00        3           3            62 63 29
96          0.28        0.63        0.33        1           3            69 16 45
97          0.22        0.62        0.67        2           3            39 32 52
98          0.16        0.63        2.00        6           3            90 39 91
99          0.38        0.75        0.00        0           3            72 7 51
