Id          Eps         maxEps      NDF         rk+nn       k+nn_value  k+nn        
0           0.23        0.64        1.40        7           5            61 16 90 91 98
1           0.24        0.70        1.80        9           5            39 28 12 52 49
2           0.29        0.62        1.20        6           5            90 48 8 22 84
3           0.37        0.65        0.20        1           5            4 77 11 6 21
4           0.33        0.68        0.80        4           5            54 29 75 3 72
5           0.31        0.70        1.00        5           5            87 68 78 36 74
6           0.26        0.59        1.00        5           5            46 16 81 90 19
7           0.27        0.69        1.20        6           5            51 32 38 63 18
8           0.32        0.65        0.20        1           5            84 2 90 77 26
9           0.29        0.66        1.00        5           5            45 58 35 13 86
10          0.24        0.65        1.00        5           5            14 58 12 66 86
11          0.25        0.72        1.60        8           5            14 82 10 64 76
12          0.22        0.65        1.80        9           5            41 1 38 52 80
13          0.24        0.63        2.00        10          5            91 84 75 90 45
14          0.26        0.61        1.80        9           5            10 11 31 52 69
15          0.25        0.69        0.80        4           5            69 49 52 76 97
16          0.20        0.60        2.80        14          5            90 6 0 46 98
17          0.34        0.67        0.00        0           5            76 31 63 66 89
18          0.33        0.77        0.60        3           5            62 7 51 75 58
19          0.24        0.68        1.40        7           5            46 81 52 40 41
20          0.26        0.60        0.60        3           5            45 48 13 90 52
21          0.30        0.64        0.60        3           5            39 28 14 84 27
22          0.37        0.71        0.20        1           5            2 21 48 13 84
23          0.26        0.59        0.80        4           5            77 97 91 98 16
24          0.33        0.71        0.20        1           5            52 96 57 69 53
25          0.33        0.64        0.60        3           5            60 31 38 84 34
26          0.27        0.68        0.40        2           5            90 46 84 13 52
27          0.32        0.63        0.20        1           5            21 39 49 14 1
28          0.23        0.64        1.80        9           5            39 52 1 37 49
29          0.30        0.74        0.60        3           5            95 54 62 0 74
30          0.34        0.66        0.20        1           5            60 94 67 79 97
31          0.25        0.64        1.60        8           5            52 76 38 57 14
32          0.23        0.68        1.80        9           5            38 97 41 63 12
33          0.28        0.64        0.40        2           5            71 16 90 93 75
34          0.32        0.71        0.40        2           5            64 86 58 66 79
35          0.27        0.61        1.00        5           5            86 98 50 76 9
36          0.34        0.63        0.60        3           5            68 5 87 54 70
37          0.26        0.69        0.40        2           5            28 39 49 52 31
38          0.24        0.66        1.60        8           5            52 32 12 31 53
39          0.19        0.59        2.80        14          5            28 52 1 98 67
40          0.25        0.68        0.80        4           5            46 19 52 66 81
41          0.25        0.72        1.00        5           5            12 52 32 19 38
42          0.34        0.64        0.20        1           5            2 77 25 5 51
43          0.40        0.71        0.00        0           5            14 23 11 9 91
44          0.35        0.72        0.60        3           5            75 13 72 91 59
45          0.27        0.69        1.60        8           5            9 20 58 13 86
